N;Beg;Mid;End;False
18200;212.940000;181.570000;661.530000;203.200000;
18300;239.050000;273.230000;193.220000;204.530000;
18400;197.180000;212.890000;476.600000;193.700000;
18500;199.520000;185.710000;179.360000;218.080000;
18600;317.930000;188.390000;201.720000;211.270000;
18700;204.380000;184.800000;503.270000;207.540000;
18800;236.840000;207.600000;215.350000;459.760000;
18900;640.910000;217.810000;190.180000;225.350000;
19000;184.020000;247.110000;214.850000;211.730000;
19100;229.690000;185.110000;178.120000;256.510000;
19200;299.410000;180.670000;200.590000;218.310000;
19300;374.490000;202.110000;188.980000;208.210000;
19400;189.690000;458.970000;209.350000;199.390000;
19500;210.080000;216.170000;212.470000;221.800000;
19600;313.520000;203.090000;214.110000;214.640000;
19700;352.620000;208.610000;187.680000;278.600000;
19800;245.410000;503.860000;224.480000;316.870000;
19900;246.640000;253.810000;189.780000;225.260000;
20000;262.400000;217.990000;220.540000;216.570000;
20100;231.120000;206.040000;535.600000;220.240000;
20200;199.200000;653.790000;219.380000;200.300000;
20300;188.310000;194.960000;185.160000;189.780000;
20400;211.520000;199.380000;288.990000;196.240000;
20500;530.810000;217.740000;191.320000;215.630000;
20600;239.730000;337.730000;228.520000;205.750000;
20700;215.220000;197.060000;190.780000;201.790000;
20800;196.170000;305.870000;258.690000;201.070000;
20900;200.350000;226.890000;218.690000;237.570000;
21000;676.410000;212.590000;229.590000;209.720000;
21100;204.030000;206.300000;199.170000;209.550000;
21200;196.860000;201.250000;225.590000;194.400000;
21300;199.200000;206.030000;198.810000;196.370000;
21400;192.550000;197.890000;228.230000;235.080000;
21500;194.440000;217.520000;207.730000;247.940000;
21600;188.250000;207.730000;223.270000;193.090000;
21700;266.690000;199.500000;194.670000;191.930000;
21800;201.510000;199.050000;224.380000;191.430000;
21900;320.260000;223.810000;202.720000;667.700000;
22000;278.070000;270.590000;305.480000;451.590000;
22100;206.680000;204.650000;238.310000;195.850000;
22200;283.120000;218.930000;227.210000;207.880000;
22300;286.680000;211.070000;200.210000;260.640000;
22400;244.790000;201.090000;224.990000;238.380000;
22500;233.750000;220.140000;203.610000;230.920000;
22600;223.710000;208.820000;228.330000;231.350000;
22700;301.780000;262.120000;347.300000;234.000000;
22800;247.730000;333.030000;232.580000;352.700000;
22900;230.420000;281.180000;202.750000;220.720000;
23000;283.490000;297.840000;222.270000;210.870000;
23100;302.650000;216.020000;552.690000;361.990000;
23200;237.530000;284.520000;235.880000;396.750000;
23300;215.400000;208.510000;205.260000;236.640000;
23400;272.530000;349.740000;220.140000;210.460000;
23500;226.430000;226.300000;189.500000;243.140000;
23600;206.670000;209.090000;217.350000;226.170000;
23700;207.130000;219.750000;201.470000;215.320000;
23800;218.510000;199.950000;215.730000;218.170000;
23900;222.670000;195.280000;190.110000;215.470000;
24000;347.570000;226.530000;219.570000;239.790000;
24100;260.970000;306.560000;247.560000;484.790000;
24200;392.550000;484.970000;546.150000;316.580000;
24300;273.540000;251.780000;194.300000;309.030000;
24400;475.410000;195.180000;216.480000;235.740000;
24500;216.270000;189.550000;191.210000;213.940000;
24600;229.750000;195.910000;211.970000;331.100000;
24700;512.190000;604.220000;193.360000;252.450000;
24800;262.990000;196.780000;212.810000;271.880000;
24900;227.020000;235.520000;278.970000;238.530000;
25000;223.130000;222.740000;229.240000;221.860000;
25100;387.850000;217.560000;195.420000;234.980000;
25200;224.550000;210.180000;220.540000;208.210000;
25300;210.120000;197.370000;193.460000;211.960000;
25400;208.140000;195.610000;217.890000;206.720000;
25500;202.380000;192.370000;192.210000;205.570000;
25600;223.150000;195.880000;214.750000;228.680000;
25700;207.160000;192.950000;191.090000;213.960000;
25800;210.990000;194.780000;218.860000;206.020000;
25900;307.930000;219.220000;209.510000;227.000000;
26000;381.660000;204.240000;326.400000;228.920000;
26100;270.500000;221.740000;200.370000;285.770000;
26200;248.790000;321.580000;256.270000;221.260000;
26300;210.680000;192.110000;188.990000;351.510000;
26400;208.950000;193.210000;215.710000;209.070000;
26500;633.520000;230.360000;203.560000;261.640000;
26600;297.660000;258.080000;230.420000;227.130000;
26700;460.050000;204.540000;197.790000;423.270000;
26800;223.780000;197.570000;279.950000;211.600000;
26900;294.120000;197.750000;191.170000;220.460000;
27000;228.370000;211.610000;222.420000;216.900000;
27100;229.120000;213.850000;190.470000;225.730000;
27200;212.070000;197.870000;217.840000;214.270000;
27300;220.980000;194.290000;198.870000;217.920000;
27400;338.460000;192.790000;215.250000;221.280000;
27500;209.920000;203.430000;185.210000;205.470000;
27600;218.890000;214.610000;227.810000;206.710000;
27700;373.420000;249.030000;251.920000;239.810000;
27800;265.690000;230.540000;231.580000;434.380000;
27900;449.170000;271.920000;190.580000;246.860000;
28000;220.770000;190.830000;428.900000;232.680000;
28100;512.520000;215.100000;185.300000;213.070000;
28200;341.710000;324.080000;215.080000;265.540000;
28300;381.490000;230.740000;212.090000;235.330000;
28400;242.980000;198.640000;223.740000;225.080000;
28500;356.890000;196.470000;193.100000;219.100000;
28600;230.980000;189.600000;222.540000;210.300000;
28700;238.790000;188.250000;182.030000;225.210000;
28800;372.180000;222.590000;234.210000;221.370000;
28900;228.530000;192.290000;182.230000;214.520000;
29000;219.200000;192.530000;218.390000;204.270000;
29100;207.800000;183.640000;182.490000;204.230000;
29200;224.020000;189.500000;213.680000;204.740000;
29300;315.110000;228.950000;189.130000;222.900000;
29400;274.100000;196.450000;214.020000;301.080000;
