N;Beg;Mid;End;False
34400;27.000000;27.000000;27.000000;27.000000;
34500;27.000000;27.000000;27.000000;27.000000;
34600;27.000000;27.000000;27.000000;27.000000;
34700;27.000000;27.000000;27.000000;27.000000;
34800;27.000000;29.000000;29.000000;29.000000;
34900;27.000000;27.000000;27.000000;27.000000;
35000;27.000000;27.000000;27.000000;27.000000;
35100;27.000000;27.000000;27.000000;27.000000;
35200;27.000000;27.000000;27.000000;27.000000;
35300;27.000000;29.000000;29.000000;27.000000;
35400;27.000000;27.000000;27.000000;27.000000;
35500;27.000000;27.000000;27.000000;27.000000;
35600;27.000000;27.000000;27.000000;27.000000;
35700;29.000000;29.000000;29.000000;27.000000;
35800;27.000000;29.000000;29.000000;27.000000;
35900;27.000000;29.000000;29.000000;29.000000;
36000;27.000000;27.000000;27.000000;27.000000;
36100;27.000000;27.000000;27.000000;29.000000;
36200;29.000000;29.000000;29.000000;27.000000;
36300;27.000000;29.000000;29.000000;29.000000;
36400;27.000000;29.000000;29.000000;29.000000;
36500;27.000000;27.000000;27.000000;27.000000;
36600;27.000000;29.000000;29.000000;29.000000;
36700;27.000000;29.000000;29.000000;29.000000;
36800;29.000000;29.000000;29.000000;29.000000;
36900;29.000000;29.000000;29.000000;29.000000;
37000;29.000000;27.000000;27.000000;29.000000;
37100;27.000000;29.000000;29.000000;29.000000;
37200;27.000000;27.000000;27.000000;27.000000;
37300;27.000000;27.000000;27.000000;27.000000;
37400;29.000000;27.000000;27.000000;27.000000;
37500;27.000000;27.000000;27.000000;29.000000;
37600;27.000000;27.000000;27.000000;29.000000;
37700;27.000000;27.000000;27.000000;29.000000;
37800;27.000000;27.000000;27.000000;27.000000;
37900;29.000000;27.000000;27.000000;29.000000;
38000;27.000000;27.000000;27.000000;29.000000;
38100;27.000000;27.000000;27.000000;27.000000;
38200;27.000000;27.000000;27.000000;27.000000;
38300;27.000000;27.000000;27.000000;27.000000;
38400;29.000000;27.000000;27.000000;29.000000;
38500;27.000000;27.000000;27.000000;27.000000;
38600;27.000000;27.000000;27.000000;27.000000;
38700;27.000000;27.000000;27.000000;29.000000;
38800;27.000000;27.000000;27.000000;27.000000;
38900;27.000000;29.000000;29.000000;29.000000;
39000;27.000000;27.000000;27.000000;27.000000;
39100;27.000000;27.000000;27.000000;29.000000;
39200;27.000000;27.000000;27.000000;27.000000;
39300;27.000000;27.000000;27.000000;27.000000;
39400;27.000000;29.000000;29.000000;27.000000;
39500;27.000000;27.000000;27.000000;27.000000;
39600;27.000000;27.000000;27.000000;27.000000;
39700;27.000000;27.000000;27.000000;27.000000;
39800;29.000000;29.000000;29.000000;27.000000;
39900;27.000000;29.000000;29.000000;29.000000;
40000;27.000000;27.000000;27.000000;29.000000;
40100;27.000000;27.000000;27.000000;27.000000;
40200;27.000000;27.000000;27.000000;29.000000;
40300;29.000000;29.000000;29.000000;29.000000;
40400;27.000000;29.000000;29.000000;29.000000;
40500;27.000000;29.000000;29.000000;29.000000;
40600;27.000000;27.000000;27.000000;27.000000;
40700;27.000000;29.000000;29.000000;23.000000;
40800;27.000000;29.000000;29.000000;29.000000;
