N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
1500;15980.000000;8801.000000;125;10.653334;5.867333;558503.000000;558503.000000;2043;372.335327;372.335327;13946.000000;15952.000000;223;9.297334;10.634666;21695.000000;3988.000000;135;14.463333;2.658667;21636.000000;12405.000000;110;14.424000;8.270000;
1600;17677.000000;8819.000000;134;11.048125;5.511875;633317.000000;633317.000000;2328;395.823120;395.823120;15089.000000;17152.000000;222;9.430625;10.720000;27568.000000;4078.000000;141;17.230000;2.548750;27575.000000;13227.000000;116;17.234375;8.266875;
1700;17728.000000;10481.000000;155;10.428235;6.165294;736078.000000;736078.000000;2675;432.987061;432.987061;16113.000000;18352.000000;242;9.478235;10.795294;25202.000000;4633.000000;151;14.824706;2.725294;25665.000000;14596.000000;126;15.097059;8.585882;
1800;19508.000000;12188.000000;148;10.837778;6.771111;825425.000000;825425.000000;2991;458.569458;458.569458;17242.000000;19552.000000;255;9.578889;10.862223;27193.000000;4892.000000;160;15.107223;2.717778;27230.000000;15337.000000;136;15.127778;8.520555;
1900;22161.000000;11756.000000;165;11.663684;6.187368;909697.000000;909697.000000;3316;478.787903;478.787903;18309.000000;20752.000000;278;9.636315;10.922105;31005.000000;5112.000000;172;16.318420;2.690526;30949.000000;15792.000000;143;16.288948;8.311579;
2000;22680.000000;12058.000000;164;11.340000;6.029000;1010164.000000;1010164.000000;3680;505.082001;505.082001;19404.000000;21952.000000;284;9.702000;10.976000;30358.000000;5461.000000;181;15.179000;2.730500;31294.000000;17956.000000;153;15.647000;8.978000;
2100;23746.000000;12049.000000;169;11.307619;5.737619;1116304.000000;1116304.000000;4086;531.573303;531.573303;20553.000000;23204.000000;323;9.787143;11.049523;37731.000000;5663.000000;204;17.967142;2.696667;37257.000000;17028.000000;166;17.741428;8.108571;
2200;28902.000000;15660.000000;194;13.137273;7.118182;1206048.000000;1206048.000000;4403;548.203613;548.203613;21676.000000;24504.000000;330;9.852727;11.138182;33778.000000;6105.000000;217;15.353637;2.775000;34338.000000;19232.000000;172;15.608182;8.741818;
2300;29279.000000;14792.000000;210;12.730000;6.431304;1333505.000000;1333505.000000;4845;579.784790;579.784790;22849.000000;25804.000000;332;9.934348;11.219131;35865.000000;6407.000000;212;15.593478;2.785652;35807.000000;19297.000000;175;15.568261;8.390000;
2400;27316.000000;15549.000000;214;11.381667;6.478750;1492665.000000;1492665.000000;5460;621.943726;621.943726;23949.000000;27104.000000;355;9.978750;11.293333;37848.000000;6743.000000;230;15.770000;2.809583;37891.000000;20251.000000;186;15.787917;8.437917;
2500;28406.000000;15415.000000;225;11.362400;6.166000;1555209.000000;1555209.000000;5671;622.083618;622.083618;25114.000000;28404.000000;1017;10.045600;11.361600;41514.000000;6981.000000;237;16.605600;2.792400;40862.000000;20332.000000;198;16.344801;8.132800;
2600;29451.000000;16823.000000;232;11.327308;6.470385;1661590.000000;1661590.000000;6018;639.073059;639.073059;26277.000000;29704.000000;397;10.106539;11.424616;41025.000000;7359.000000;254;15.778846;2.830385;40901.000000;22033.000000;206;15.731153;8.474231;
2700;30574.000000;18114.000000;237;11.323704;6.708889;1790502.000000;1790502.000000;6482;663.148865;663.148865;27382.000000;31004.000000;362;10.141481;11.482963;45442.000000;7566.000000;266;16.830370;2.802222;45445.000000;22745.000000;215;16.831482;8.424074;
2800;32765.000000;18261.000000;238;11.701786;6.521786;1944767.000000;1944767.000000;7302;694.559631;694.559631;28606.000000;32304.000000;369;10.216429;11.537143;44852.000000;7980.000000;276;16.018572;2.850000;44017.000000;23058.000000;229;15.720357;8.235000;
2900;34260.000000;18019.000000;246;11.813793;6.213448;2085302.000000;2085302.000000;7625;719.069641;719.069641;29687.000000;33604.000000;398;10.236897;11.587586;48696.000000;8216.000000;288;16.791723;2.833103;48455.000000;24799.000000;233;16.708620;8.551379;
3000;37459.000000;21565.000000;273;12.486333;7.188334;2242595.000000;2242595.000000;8139;747.531677;747.531677;30856.000000;34904.000000;388;10.285334;11.634666;48200.000000;8615.000000;302;16.066668;2.871667;48199.000000;25717.000000;237;16.066334;8.572333;
3100;37471.000000;21325.000000;292;12.087420;6.879032;2420868.000000;2420868.000000;8736;780.925171;780.925171;32099.000000;36204.000000;420;10.354516;11.678710;51677.000000;8864.000000;295;16.670000;2.859355;51206.000000;26152.000000;242;16.518064;8.436129;
3200;37577.000000;21531.000000;290;11.742812;6.728437;2576296.000000;2576296.000000;9374;805.092529;805.092529;33293.000000;37504.000000;444;10.404062;11.720000;53205.000000;9238.000000;314;16.626562;2.886875;52227.000000;26562.000000;258;16.320938;8.300625;
3300;40822.000000;21273.000000;294;12.370303;6.446363;2709458.000000;2709458.000000;9829;821.047852;821.047852;34442.000000;38804.000000;439;10.436970;11.758788;54362.000000;9564.000000;326;16.473333;2.898182;54762.000000;29005.000000;263;16.594545;8.789394;
3400;40811.000000;23434.000000;301;12.003235;6.892353;2888290.000000;2888290.000000;10461;849.497070;849.497070;35633.000000;40104.000000;463;10.480294;11.795294;56841.000000;9848.000000;330;16.717941;2.896471;56241.000000;28996.000000;274;16.541471;8.528235;
3500;41671.000000;23597.000000;319;11.906000;6.742000;3057550.000000;3057550.000000;11134;873.585693;873.585693;36822.000000;41404.000000;552;10.520572;11.829714;62956.000000;10202.000000;938;17.987429;2.914857;63002.000000;29731.000000;615;18.000572;8.494572;
3600;42973.000000;23520.000000;643;11.936944;6.533333;3234806.000000;3234806.000000;24418;898.557251;898.557251;38024.000000;42704.000000;1039;10.562222;11.862223;58749.000000;10598.000000;689;16.319166;2.943889;58114.000000;30831.000000;572;16.142778;8.564167;
3700;44582.000000;24691.000000;687;12.049190;6.673243;3424273.000000;3424273.000000;23926;925.479187;925.479187;39235.000000;44004.000000;897;10.604054;11.892973;60218.000000;10984.000000;666;16.275135;2.968649;60642.000000;33037.000000;495;16.389730;8.928919;
3800;47928.000000;25378.000000;356;12.612632;6.678421;3556848.000000;3556848.000000;12988;936.012634;936.012634;40403.000000;45304.000000;503;10.632368;11.922105;60860.000000;11318.000000;379;16.015789;2.978421;61287.000000;33431.000000;312;16.128159;8.797631;
3900;49921.000000;27406.000000;369;12.800257;7.027180;3840871.000000;3840871.000000;14054;984.838745;984.838745;41595.000000;46604.000000;516;10.665384;11.949743;63747.000000;11792.000000;401;16.345385;3.023590;64042.000000;34321.000000;329;16.421026;8.800257;
4000;48848.000000;26203.000000;380;12.212000;6.550750;4090328.000000;4090328.000000;14949;1022.581970;1022.581970;42798.000000;47904.000000;542;10.699500;11.976000;67856.000000;11914.000000;404;16.964001;2.978500;68309.000000;35167.000000;333;17.077250;8.791750;
4100;49695.000000;28295.000000;370;12.120731;6.901219;4178249.000000;4178249.000000;15172;1019.085144;1019.085144;44052.000000;49208.000000;556;10.744390;12.001951;73388.000000;12185.000000;419;17.899511;2.971951;73820.000000;35664.000000;346;18.004879;8.698537;
4200;52615.000000;29259.000000;400;12.527381;6.966429;4389518.000000;4389518.000000;15919;1045.123291;1045.123291;45229.000000;50608.000000;564;10.768809;12.049523;71681.000000;12539.000000;408;17.066904;2.985476;71555.000000;36117.000000;341;17.036905;8.599286;
4300;52790.000000;29017.000000;411;12.276744;6.748139;4616429.000000;4616429.000000;16718;1073.588135;1073.588135;46465.000000;52008.000000;688;10.805814;12.094884;77890.000000;12788.000000;1075;18.113953;2.973953;77303.000000;36900.000000;763;17.977442;8.581395;
4400;62284.000000;35857.000000;942;14.155455;8.149318;4789475.000000;4789475.000000;25195;1088.517090;1088.517090;47777.000000;53408.000000;1243;10.858409;12.138182;77952.000000;13071.000000;934;17.716364;2.970682;78692.000000;39178.000000;742;17.884546;8.904091;
4500;56306.000000;32225.000000;837;12.512444;7.161111;5082250.000000;5082250.000000;20568;1129.388916;1129.388916;48941.000000;54808.000000;618;10.875778;12.179556;78561.000000;13654.000000;465;17.458000;3.034222;78774.000000;39863.000000;388;17.505333;8.858444;
4600;61073.000000;32167.000000;457;13.276739;6.992826;5279891.000000;5279891.000000;19317;1147.802368;1147.802368;50233.000000;56208.000000;644;10.920218;12.219131;79088.000000;13869.000000;486;17.193043;3.015000;78754.000000;39512.000000;392;17.120436;8.589565;
4700;58777.000000;34742.000000;439;12.505745;7.391915;5499728.000000;5499728.000000;20075;1170.154907;1170.154907;51579.000000;57608.000000;657;10.974256;12.257021;78058.000000;14280.000000;486;16.608086;3.038298;76696.000000;39323.000000;402;16.318298;8.366595;
4800;60676.000000;36176.000000;463;12.640833;7.536667;5625156.000000;5625156.000000;20521;1171.907471;1171.907471;52694.000000;59008.000000;653;10.977917;12.293333;83367.000000;14529.000000;504;17.368126;3.026875;83567.000000;42206.000000;407;17.409792;8.792916;
4900;62332.000000;33050.000000;485;12.720817;6.744898;6012622.000000;6012622.000000;21909;1227.065674;1227.065674;53989.000000;60408.000000;707;11.018164;12.328163;84359.000000;15057.000000;511;17.216122;3.072857;84620.000000;43273.000000;419;17.269388;8.831224;
5000;72807.000000;35059.000000;473;14.561400;7.011800;6196556.000000;6196556.000000;22468;1239.311157;1239.311157;55269.000000;61808.000000;928;11.053800;12.361600;90908.000000;14972.000000;504;18.181601;2.994400;90095.000000;42742.000000;420;18.018999;8.548400;
5100;73897.000000;39812.000000;523;14.489608;7.806274;6496245.000000;6496245.000000;23569;1273.773560;1273.773560;56539.000000;63208.000000;714;11.086079;12.393725;84623.000000;15849.000000;527;16.592745;3.107647;84717.000000;45394.000000;447;16.611176;8.900784;
5200;70381.000000;37033.000000;477;13.534808;7.121731;6850579.000000;6850579.000000;24880;1317.419067;1317.419067;57773.000000;64608.000000;776;11.110192;12.424616;91693.000000;15978.000000;543;17.633268;3.072692;91392.000000;45685.000000;441;17.575384;8.785577;
5300;67682.000000;39621.000000;518;12.770188;7.475660;7008001.000000;7008001.000000;25458;1322.264282;1322.264282;58992.000000;66008.000000;757;11.130566;12.454340;93045.000000;16216.000000;597;17.555660;3.059623;93326.000000;46319.000000;476;17.608679;8.739434;
5400;73023.000000;42263.000000;552;13.522778;7.826481;7155805.000000;7155805.000000;26027;1325.149048;1325.149048;60300.000000;67408.000000;748;11.166667;12.482963;100057.000000;16359.000000;596;18.529074;3.029444;99106.000000;45535.000000;494;18.352962;8.432407;
5500;71662.000000;40412.000000;559;13.029454;7.347636;7612261.000000;7612261.000000;27618;1384.047485;1384.047485;61551.000000;68808.000000;851;11.191091;12.510546;93858.000000;17057.000000;576;17.065090;3.101273;93870.000000;48381.000000;479;17.067272;8.796545;
5600;76917.000000;41288.000000;560;13.735179;7.372857;7781253.000000;7781253.000000;28293;1389.509521;1389.509521;62784.000000;70208.000000;1720;11.211429;12.537143;99863.000000;17365.000000;1261;17.832678;3.100893;98537.000000;47404.000000;1031;17.595892;8.465000;
5700;77949.000000;42950.000000;1213;13.675263;7.535088;8089795.000000;8089795.000000;54077;1419.262329;1419.262329;64042.000000;71608.000000;802;11.235438;12.562807;96259.000000;17712.000000;637;16.887545;3.107368;95850.000000;49664.000000;511;16.815790;8.712982;
5800;74083.000000;41114.000000;581;12.772931;7.088621;8369934.000000;8369934.000000;30337;1443.092041;1443.092041;65198.000000;73008.000000;803;11.241035;12.587586;101943.000000;17893.000000;618;17.576380;3.085000;101143.000000;50373.000000;500;17.438448;8.685000;
5900;81278.000000;45018.000000;577;13.775932;7.630169;8654262.000000;8654262.000000;31400;1466.824097;1466.824097;66559.000000;74408.000000;813;11.281186;12.611526;110338.000000;18191.000000;658;18.701355;3.083220;111475.000000;52852.000000;517;18.894068;8.957966;
6000;79836.000000;42383.000000;603;13.306000;7.063833;9049794.000000;9049794.000000;32928;1508.298950;1508.298950;67804.000000;75808.000000;863;11.300667;12.634666;108039.000000;18758.000000;637;18.006500;3.126333;108277.000000;53151.000000;529;18.046167;8.858500;
6100;82481.000000;46113.000000;589;13.521476;7.559508;9436535.000000;9436535.000000;34405;1546.972900;1546.972900;69106.000000;77208.000000;1542;11.328853;12.657049;113970.000000;18682.000000;1382;18.683607;3.062623;113719.000000;52799.000000;1168;18.642460;8.655574;
6200;83251.000000;41714.000000;1191;13.427581;6.728065;9666426.000000;9666426.000000;64625;1559.100952;1559.100952;70306.000000;78608.000000;912;11.339678;12.678710;112222.000000;19298.000000;658;18.100323;3.112581;112137.000000;54382.000000;547;18.086613;8.771291;
6300;82291.000000;48075.000000;649;13.062063;7.630952;9863652.000000;9863652.000000;36347;1565.659058;1565.659058;71655.000000;80008.000000;916;11.373810;12.699682;114248.000000;19629.000000;673;18.134604;3.115714;113481.000000;54350.000000;554;18.012857;8.626985;
6400;87592.000000;45522.000000;635;13.686250;7.112813;10112495.000000;10112495.000000;37164;1580.077393;1580.077393;72990.000000;81408.000000;895;11.404688;12.720000;122305.000000;19607.000000;701;19.110157;3.063594;122205.000000;55578.000000;598;19.094532;8.684063;
6500;85487.000000;45687.000000;670;13.151846;7.028769;10616671.000000;10616671.000000;39345;1633.333984;1633.333984;74310.000000;82808.000000;1006;11.432307;12.739693;115688.000000;20497.000000;700;17.798153;3.153385;115564.000000;57616.000000;585;17.779078;8.864000;
6600;88746.000000;48517.000000;685;13.446363;7.351060;10800577.000000;10800577.000000;39839;1636.451050;1636.451050;75565.000000;84208.000000;1145;11.449243;12.758788;115020.000000;20782.000000;706;17.427273;3.148788;115242.000000;58604.000000;591;17.460909;8.879394;
6700;91902.000000;50043.000000;655;13.716717;7.469104;11076587.000000;11076587.000000;40987;1653.221924;1653.221924;76784.000000;85608.000000;987;11.460299;12.777313;116834.000000;21128.000000;710;17.437910;3.153433;116639.000000;59229.000000;595;17.408806;8.840149;
6800;90890.000000;49456.000000;702;13.366177;7.272941;11527772.000000;11527772.000000;42907;1695.260620;1695.260620;78145.000000;87008.000000;1004;11.491912;12.795294;124839.000000;21308.000000;707;18.358677;3.133529;123871.000000;58906.000000;596;18.216324;8.662647;
6900;93901.000000;49999.000000;703;13.608841;7.246232;12004114.000000;12004114.000000;44341;1739.726685;1739.726685;79445.000000;88408.000000;998;11.513768;12.812754;132611.000000;21562.000000;752;19.218985;3.124928;131884.000000;59873.000000;621;19.113623;8.677246;
7000;97343.000000;50288.000000;762;13.906143;7.184000;12298808.000000;12298808.000000;45659;1756.972534;1756.972534;80678.000000;89808.000000;2103;11.525429;12.829714;134754.000000;21937.000000;1530;19.250572;3.133857;134558.000000;61156.000000;1311;19.222572;8.736571;
7100;95446.000000;53434.000000;1835;13.443099;7.525916;12636984.000000;12636984.000000;68945;1779.856934;1779.856934;81906.000000;91208.000000;1046;11.536057;12.846197;127590.000000;22495.000000;751;17.970423;3.168310;126541.000000;62043.000000;617;17.822676;8.738451;
7200;95721.000000;54889.000000;743;13.294583;7.623472;12938900.000000;12938900.000000;46999;1797.069458;1797.069458;83212.000000;92608.000000;1041;11.557222;12.862223;131516.000000;22790.000000;774;18.266111;3.165278;130736.000000;62941.000000;632;18.157778;8.741806;
7300;99408.000000;57429.000000;752;13.617535;7.866986;13345218.000000;13345218.000000;48792;1828.112061;1828.112061;84512.000000;94008.000000;1062;11.576986;12.877809;131644.000000;22952.000000;779;18.033424;3.144109;131945.000000;64345.000000;648;18.074657;8.814384;
7400;99349.000000;55105.000000;763;13.425541;7.446621;13624663.000000;13624663.000000;49566;1841.170654;1841.170654;85899.000000;95408.000000;1761;11.607973;12.892973;131314.000000;23755.000000;1200;17.745134;3.210135;130856.000000;65249.000000;650;17.683243;8.817432;
7500;101396.000000;53401.000000;720;13.519466;7.120133;14034954.000000;14034954.000000;51933;1871.327148;1871.327148;87119.000000;96808.000000;1112;11.615867;12.907733;133968.000000;23975.000000;809;17.862400;3.196667;134460.000000;67913.000000;678;17.927999;9.055067;
7600;99857.000000;55438.000000;791;13.139079;7.294474;14487898.000000;14487898.000000;59355;1906.302368;1906.302368;88467.000000;98208.000000;1174;11.640395;12.922105;139256.000000;24131.000000;852;18.323158;3.175132;139361.000000;68105.000000;692;18.336973;8.961185;
7700;107429.000000;56921.000000;834;13.951818;7.392338;14859596.000000;14859596.000000;55272;1929.817627;1929.817627;89774.000000;99608.000000;1158;11.658961;12.936104;143196.000000;24535.000000;804;18.596884;3.186364;143487.000000;69073.000000;689;18.634676;8.970519;
7800;104848.000000;59021.000000;777;13.442051;7.566795;14894860.000000;14894860.000000;55214;1909.597412;1909.597412;91036.000000;101008.000000;1928;11.671282;12.949743;143071.000000;24959.000000;861;18.342436;3.199872;143192.000000;69869.000000;711;18.357948;8.957564;
7900;110988.000000;57069.000000;839;14.049114;7.223924;15410544.000000;15410544.000000;67913;1950.701782;1950.701782;92334.000000;102408.000000;1129;11.687848;12.963038;140602.000000;25344.000000;895;17.797722;3.208101;140048.000000;70140.000000;742;17.727594;8.878481;
8000;108195.000000;56948.000000;833;13.524375;7.118500;16007589.000000;16007589.000000;57987;2000.948608;2000.948608;93588.000000;103808.000000;1131;11.698500;12.976000;147611.000000;25410.000000;897;18.451374;3.176250;148444.000000;71831.000000;736;18.555500;8.978875;
8100;117226.000000;63769.000000;792;14.472345;7.872716;16314528.000000;16314528.000000;59150;2014.139282;2014.139282;94999.000000;105208.000000;1161;11.728271;12.988642;150859.000000;25932.000000;839;18.624567;3.201482;151725.000000;72550.000000;724;18.731482;8.956790;
8200;106073.000000;60455.000000;801;12.935732;7.372561;17005620.000000;17005620.000000;62131;2073.856201;2073.856201;96261.000000;106616.000000;1467;11.739146;13.001951;154679.000000;26131.000000;949;18.863293;3.186707;153181.000000;71467.000000;762;18.680611;8.715487;
8300;113744.000000;63492.000000;833;13.704097;7.649639;16974824.000000;16974824.000000;63301;2045.159546;2045.159546;97606.000000;108116.000000;1233;11.759759;13.026024;161837.000000;26218.000000;857;19.498434;3.158795;161604.000000;73633.000000;720;19.470362;8.871446;
8400;117435.000000;63340.000000;890;13.980357;7.540476;17691992.000000;17691992.000000;64749;2106.189453;2106.189453;98938.000000;109616.000000;1242;11.778334;13.049523;157318.000000;26872.000000;911;18.728333;3.199048;159257.000000;76358.000000;751;18.959167;9.090239;
8500;117347.000000;68133.000000;914;13.805530;8.015647;17836730.000000;17836730.000000;64454;2098.438721;2098.438721;100288.000000;111116.000000;2081;11.798588;13.072471;161830.000000;27156.000000;1813;19.038824;3.194824;161545.000000;75344.000000;1512;19.005295;8.864000;
8600;123972.000000;66734.000000;1717;14.415349;7.759768;18325820.000000;18325820.000000;96734;2130.909424;2130.909424;101665.000000;112616.000000;1286;11.821511;13.094884;158695.000000;27679.000000;943;18.452908;3.218488;158170.000000;76019.000000;779;18.391861;8.839418;
8700;121003.000000;61888.000000;933;13.908391;7.113563;18932948.000000;18932948.000000;70638;2176.200928;2176.200928;102914.000000;114116.000000;1285;11.829195;13.116781;156771.000000;28258.000000;961;18.019655;3.248046;156675.000000;77682.000000;795;18.008621;8.928966;
8800;125347.000000;65109.000000;873;14.243978;7.398750;19525282.000000;19525282.000000;71352;2218.781982;2218.781982;104371.000000;115616.000000;1774;11.860341;13.138182;167471.000000;28216.000000;1940;19.030796;3.206364;169020.000000;79396.000000;1689;19.206818;9.022273;
8900;124580.000000;68257.000000;1833;13.997753;7.669326;19654614.000000;19654614.000000;94378;2208.383545;2208.383545;105601.000000;117116.000000;1334;11.865281;13.159101;159186.000000;28967.000000;920;17.886068;3.254719;159232.000000;80466.000000;778;17.891235;9.041123;
9000;127808.000000;65336.000000;881;14.200889;7.259555;20447844.000000;20447844.000000;74292;2271.982666;2271.982666;106846.000000;118616.000000;1290;11.871778;13.179556;187039.000000;28772.000000;989;20.782110;3.196889;187335.000000;80086.000000;842;20.815001;8.898444;
9100;124990.000000;65998.000000;981;13.735165;7.252527;20964636.000000;20964636.000000;76694;2303.806152;2303.806152;108336.000000;120116.000000;1395;11.905055;13.199560;170934.000000;29393.000000;981;18.783957;3.230000;170715.000000;80091.000000;830;18.759890;8.801208;
9200;127212.000000;75779.000000;1021;13.827392;8.236848;21185784.000000;21185784.000000;76681;2302.802490;2302.802490;109725.000000;121616.000000;1347;11.926630;13.219131;163979.000000;30197.000000;1016;17.823805;3.282283;163467.000000;82042.000000;840;17.768152;8.917608;
9300;125320.000000;71478.000000;974;13.475268;7.685806;21606382.000000;21606382.000000;79385;2323.266846;2323.266846;111034.000000;123116.000000;1543;11.939139;13.238279;176200.000000;30089.000000;1017;18.946236;3.235376;175268.000000;82337.000000;847;18.846022;8.853441;
9400;128742.000000;74566.000000;951;13.695957;7.932553;22051048.000000;22051048.000000;80398;2345.856201;2345.856201;112367.000000;124616.000000;1588;11.953937;13.257021;170643.000000;30706.000000;1015;18.153511;3.266596;170217.000000;83672.000000;849;18.108191;8.901277;
9500;128844.000000;75032.000000;1017;13.562527;7.898105;22648600.000000;22648600.000000;82552;2384.063232;2384.063232;113623.000000;126116.000000;2882;11.960316;13.275369;179358.000000;31010.000000;2092;18.879789;3.264210;180502.000000;86178.000000;1778;19.000210;9.071368;
9600;136970.000000;79057.000000;2079;14.267709;8.235105;23130780.000000;23130780.000000;106213;2409.456299;2409.456299;115039.000000;127616.000000;1388;11.983230;13.293333;176307.000000;31330.000000;1036;18.365313;3.263542;175175.000000;84786.000000;855;18.247396;8.831875;
9700;142557.000000;78954.000000;1065;14.696598;8.139587;23328000.000000;23328000.000000;84460;2404.948486;2404.948486;116453.000000;129116.000000;1458;12.005464;13.310927;189088.000000;31674.000000;1030;19.493608;3.265361;189769.000000;87653.000000;884;19.563814;9.036392;
9800;141500.000000;68863.000000;1045;14.438775;7.026837;24163444.000000;24163444.000000;87974;2465.657471;2465.657471;117744.000000;130616.000000;3052;12.014694;13.328163;181116.000000;32096.000000;2108;18.481224;3.275102;180845.000000;87369.000000;1843;18.453571;8.915204;
9900;135359.000000;77355.000000;2098;13.672626;7.813636;24489352.000000;24489352.000000;110957;2473.671875;2473.671875;119093.000000;132116.000000;1476;12.029596;13.345051;192920.000000;32451.000000;1187;19.486868;3.277879;193076.000000;88982.000000;986;19.502626;8.988081;
10000;137565.000000;70895.000000;986;13.756500;7.089500;24769136.000000;24769136.000000;90764;2476.913574;2476.913574;120301.000000;133616.000000;1551;12.030100;13.361600;187034.000000;32736.000000;1184;18.703400;3.273600;187246.000000;89984.000000;972;18.724600;8.998400;
