N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
5200;68457.601562;36578.300781;705;13.164924;7.034288;6770548.000000;6770548.000000;27079;1302.028442;1302.028442;57721.000000;64608.000000;834;11.100192;12.424616;92433.601562;15860.000000;595;17.775692;3.050000;92514.703125;45676.300781;492;17.791288;8.783904;
5300;70115.601562;38345.601562;574;13.229359;7.235019;6983752.000000;6983752.000000;27851;1317.689087;1317.689087;59011.601562;66008.000000;803;11.134264;12.454340;93056.203125;16211.700195;574;17.557774;3.058811;93291.101562;46569.199219;473;17.602095;8.786641;
5400;70977.000000;38744.898438;549;13.143888;7.174981;7262112.000000;7262112.000000;27226;1344.835571;1344.835571;60269.101562;67408.000000;782;11.160945;12.482963;96703.601562;16482.199219;566;17.908073;3.052259;96496.101562;46844.500000;463;17.869648;8.674908;
5500;73952.500000;38516.898438;541;13.445910;7.003072;7579523.000000;7579523.000000;28145;1378.095093;1378.095093;61502.898438;68808.000000;834;11.182345;12.510546;96833.101562;16926.199219;579;17.606018;3.077491;96682.601562;48002.898438;472;17.578655;8.727799;
5600;74413.500000;40136.101562;548;13.288125;7.167161;7841332.000000;7841332.000000;28808;1400.237915;1400.237915;62782.500000;70208.000000;1452;11.211161;12.537143;99548.500000;17243.099609;946;17.776518;3.079125;99598.601562;49161.300781;810;17.785465;8.778804;
5700;75507.101562;41864.398438;939;13.246860;7.344631;8099006.500000;8099006.500000;46142;1420.878296;1420.878296;64050.300781;71608.000000;1027;11.236895;12.562807;101897.203125;17570.900391;737;17.876701;3.082614;101531.000000;49531.800781;578;17.812456;8.689790;
5800;76013.703125;41257.800781;646;13.105811;7.113414;8409797.000000;8409797.000000;32853;1449.964966;1449.964966;65277.800781;73008.000000;818;11.254793;12.587586;104583.000000;17850.099609;622;18.031551;3.077603;104408.898438;50687.199219;510;18.001534;8.739172;
5900;79703.398438;43513.300781;589;13.509050;7.375136;8719351.000000;8719351.000000;32054;1477.856079;1477.856079;66571.500000;74408.000000;840;11.283305;12.611526;105274.101562;18306.599609;625;17.843067;3.102813;105476.000000;52067.199219;518;17.877289;8.824949;
6000;79510.000000;43304.398438;595;13.251667;7.217400;9024614.000000;9024614.000000;33100;1504.102295;1504.102295;67852.703125;75808.000000;852;11.308784;12.634666;106953.500000;18654.699219;638;17.825583;3.109117;106978.203125;52781.699219;530;17.829700;8.796950;
6100;79863.500000;44006.398438;604;13.092377;7.214164;9291307.000000;9291307.000000;34191;1523.165039;1523.165039;69121.101562;77208.000000;1274;11.331328;12.657049;110734.500000;18865.699219;966;18.153196;3.092738;110623.796875;53378.199219;844;18.135048;8.750525;
